utt_id,session,speaker_id,emotion_angry,emotion_happy,emotion_neutral,emotion_sad,arousal,valence,pitch_mean,pitch_std,energy_mean,energy_std,speech_ratio,speaking_rate,pause_count,pause_ratio,duration
Ses01M_script01_3_F000,1,Ses01_F,0.012902938760817051,0.39081427454948425,0.5816084742546082,0.014674250967800617,-0.04446391761302948,0.26746615767478943,136.26479652725928,52.73593547557616,0.018634986132383347,0.01948796771466732,0.4956521739130435,1.0952527638018963,4.0,0.5043478260869565,3.652125
Ses01M_script01_3_F001,1,Ses01_F,0.018854480236768723,0.8646004796028137,0.11295057833194733,0.0035944459959864616,0.03588351234793663,0.3480125069618225,68.37252915017146,6.044730693618127,0.008838399313390255,0.009825758635997772,0.4502923976608187,1.465520202424978,6.0,0.5497076023391814,5.4588125
Ses01M_script01_3_F002,1,Ses01_F,0.007416275329887867,0.8981332182884216,0.08875434845685959,0.005696253851056099,0.08607912808656693,0.3115200400352478,143.37077402167174,77.04398094376558,0.01640341803431511,0.02509070746600628,0.3317757009345794,0.8793785724754506,6.0,0.6682242990654206,6.823
Ses01M_script01_3_F003,1,Ses01_F,0.0020347388926893473,0.04063527286052704,0.12085003405809402,0.8364800214767456,-0.3129673898220062,-0.183861643075943,112.26375059932836,59.178424198089886,0.007431062404066324,0.008031853474676609,0.5098814229249012,1.976650812279943,17.0,0.49011857707509876,8.0945
Ses01M_script01_3_F004,1,Ses01_F,0.06564438343048096,0.31431105732917786,0.5910707712173462,0.028973713517189026,-0.09774591773748398,0.17301450669765472,153.43388561559092,35.862315725192595,0.017880644649267197,0.016152530908584595,0.47863247863247865,1.607501674480911,3.0,0.5213675213675213,3.7325
Ses01M_script01_3_F005,1,Ses01_F,0.003534576389938593,0.08117733150720596,0.33019110560417175,0.5850970149040222,-0.3257948160171509,-0.09031154960393906,129.69818031134955,54.41888984097807,0.013149602338671684,0.010993456467986107,0.5174418604651163,1.0942540265128633,6.0,0.4825581395348837,5.4831875
Ses01M_script01_3_F006,1,Ses01_F,0.0036991203669458628,0.21251599490642548,0.09277557581663132,0.6910092830657959,-0.1967303603887558,-0.020426936447620392,128.9794655669767,65.18383086584566,0.00977232400327921,0.008869537152349949,0.4327485380116959,1.2844183992935698,2.0,0.5672514619883041,5.4499375
Ses01M_script01_3_F007,1,Ses01_F,0.01393832266330719,0.1509123146533966,0.7695521116256714,0.06559725850820541,-0.1657693237066269,0.056105151772499084,147.80669570392868,40.90367283837452,0.01709882542490959,0.011778322048485279,0.6545454545454545,1.7142857142857142,4.0,0.34545454545454546,3.5
Ses01M_script01_3_F008,1,Ses01_F,0.006414815317839384,0.010242930613458157,0.9802708625793457,0.003071402432397008,-0.08125213533639908,0.04314764589071274,191.4966683086005,90.5968056449501,0.02647458016872406,0.026443757116794586,0.4896551724137931,1.2931208663909803,4.0,0.5103448275862069,4.6399375
Ses01M_script01_3_F009,1,Ses01_F,0.0040054889395833015,0.9150784015655518,0.07180336117744446,0.009112652391195297,0.0341058224439621,0.38042181730270386,134.22868238495442,44.05450383430386,0.008968574926257133,0.007234060671180487,0.5813953488372093,1.6423544976562232,7.0,0.41860465116279066,5.4799375
